City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,sept-iles,50.758,-65.1798,271.23,98,100,3.07,CA,1700706169
84,thompson,73.6141,-93.7476,242.37,95,59,1.28,CA,1700706183
85,abepura,-4.3182,139.9906,296.28,67,36,1.76,PG,1700706185
86,okha,53.9259,144.4497,267.69,62,100,9.15,RU,1700706187
87,sarmiento,-44.3789,-68.9444,281.69,52,21,9.78,AR,1700706196
88,beroroha,-21.2474,44.4771,297.71,55,0,4.34,MG,1700706206
89,sal rei,16.3617,-22.2954,299.8,73,99,6.59,CV,1700706214
90,puerto aysen,-45.8353,-74.6694,280.97,90,55,1.85,CL,1700706218
91,baoshan,46.7919,131.5801,264.51,93,100,6.33,CN,1700706223
92,yellowknife,72.5529,-123.449,254.83,96,78,3.3,CA,1700706230
93,dickinson,45.7825,-102.5075,274.58,54,91,4.19,US,1700706233
94,al qubbah,31.5722,22.1535,286.88,50,0,3.84,LY,1700706237
95,pago pago,-14.1615,-170.5122,303.19,78,97,6.22,AS,1700706248
96,iqaluit,69.8472,-66.1526,266.1,93,100,4.58,CA,1700706249
97,port augusta,-30.8975,138.8714,297.08,43,8,5.93,AU,1700706258
98,itaituba,-7.437,-57.2266,294.52,98,100,0.8,BR,1700706260
99,tucuma,0.7376,-49.2038,301.68,75,28,8.42,BR,1700706267
100,snyder,33.3171,-100.3859,285.32,28,0,4.53,US,1700706273
101,oamaru,-46.3641,172.2153,283.44,95,100,7.16,NZ,1700706283
102,melito di porto salvo,37.2247,16.3104,293.58,72,83,10.1,IT,1700706286
103,ambodifotatra,-16.6063,50.3254,299.92,78,100,8.18,MG,1700706291
104,labytnangi,72.8444,68.8128,261.33,88,15,6.26,RU,1700706299
105,minab,27.8845,56.7758,290.47,61,11,1.57,IR,1700706309
106,lakatoro,-15.7368,167.5604,299.79,72,35,6.81,VU,1700706311
107,lashkar gah,31.5417,64.3729,283.14,22,0,4.22,AF,1700706327
108,mbandaka,-0.1901,18.2268,294.77,99,64,0.59,CD,1700706329
109,pascagoula,29.5092,-88.6822,289.85,57,100,7.56,US,1700706331
110,karakocan,39.2561,39.9595,270.63,72,95,0.11,TR,1700706340
111,whitehorse,69.8373,-126.311,261.44,85,10,4.27,CA,1700706345
112,ariquemes,-9.9887,-63.246,297.32,85,60,0.95,BR,1700706350
113,lowestoft,52.0458,2.4883,285.75,80,100,9.59,GB,1700706352
114,turkmenbasy,40.8838,53.44,282.19,70,16,4.76,TM,1700706366
115,yuxia,33.8115,108.3277,272.85,35,1,1.86,CN,1700706370
116,chibougamau,54.2072,-73.3731,259.88,98,89,2.85,CA,1700706373
117,peace river,57.2076,-117.6301,261.72,96,41,0.46,CA,1700706377
118,novyy urengoy,67.6366,76.902,254.14,97,100,6.17,RU,1700706382
119,khandyga,63.2541,137.1308,244.02,97,100,1.3,RU,1700706385
120,puerto baquerizo moreno,-2.2045,-89.5871,297.43,82,100,4.93,EC,1700706394
121,navolato,24.618,-108.0782,297.53,48,0,4.62,MX,1700706403
122,susuman,67.0074,150.0565,247.34,90,100,2.86,RU,1700706415
123,carora,10.6889,-69.9649,295.62,88,14,1.73,VE,1700706431
124,umm kaddadah,14.5275,27.6284,293.91,24,13,4.81,SD,1700706433
125,hobyo,4.6338,48.3326,301.6,75,54,8.96,SO,1700706436
126,cobram,-36.0402,145.761,302.76,33,100,3.84,AU,1700706450
127,sherpur,25.0593,89.9644,293.35,66,0,2.21,BD,1700706454
128,anna regina,7.7153,-58.0505,301.28,76,6,6.25,GY,1700706456
129,barkly west,-28.2206,24.1901,295.89,24,5,1.45,ZA,1700706457
130,canutama,-6.296,-63.8496,300.15,68,100,0.81,BR,1700706459
131,bethel,51.752,-177.5848,278.44,92,100,10.29,US,1700706471
132,sambava,-13.7216,51.2283,299.67,78,100,9.8,MG,1700706473
133,rakops,-22.1472,23.697,301.25,34,42,4.18,BW,1700706480
134,huangmei,29.957,115.8936,292.1,52,0,1.11,CN,1700706489
135,goure,14.983,10.3027,295.83,22,99,3.27,NE,1700706491
136,miracema do tocantins,-9.3543,-49.1644,297.98,78,100,1.8,BR,1700706492
137,tierra nueva,21.592,-100.5226,277.58,92,100,2.38,MX,1700706494
138,salekhard,67.9609,67.5005,258.98,96,100,3.38,RU,1700706498
139,talavera de la reina,40.1927,-4.7529,278.02,79,18,2.57,ES,1700706505
140,klaksvik,62.3576,-5.8423,278.66,72,32,19.99,FO,1700706508
141,komatsushimacho,33.8319,134.4547,288.7,61,92,1.08,JP,1700706513
142,sao jose,-27.9756,-49.5285,288.48,99,100,0.41,BR,1700706517
143,xilin hot,44.8253,116.2139,254.26,79,34,5.4,CN,1700706525
144,al wajh,25.8904,35.7844,299.27,58,61,3.57,SA,1700706530
145,al burayqah,30.2274,18.1416,289.58,38,0,5.94,LY,1700706532
146,la rinconada,-14.9853,-69.5349,275.99,74,94,1.81,PE,1700706537
147,montbard,47.6637,4.2031,273.96,79,85,0.59,FR,1700706541
148,samarinda,-0.6019,117.4352,302.27,78,100,2.29,ID,1700706544
149,upington,-27.5461,20.7569,296.13,16,6,4.16,ZA,1700706548
150,novodvinsk,66.8379,42.8106,266.84,83,100,3.83,RU,1700706549
151,kununurra,-17.8793,127.0449,306.42,35,3,1.42,AU,1700706553
152,mahdia,4.5675,-59.1771,297.1,86,61,0.77,GY,1700706563
153,brandon,49.1968,-100.0492,267.77,61,35,3.71,CA,1700706565
154,revda,68.5926,37.7401,263.34,93,85,8.97,RU,1700706567
155,murghob,38.2473,72.9543,262.9,70,54,2.55,TJ,1700706574
156,timimoun,29.6033,-0.5587,284.69,43,1,6.49,DZ,1700706577
157,landerneau,48.4456,-4.3192,284.78,93,100,4.12,FR,1700706579
158,kaiapoi,-43.2988,173.4984,291.22,61,32,12.16,NZ,1700706581
159,nizhniy odes,64.3389,54.796,262.41,92,100,2.35,RU,1700706586
160,el calafate,-50.0107,-72.1988,279.79,49,100,3.76,AR,1700706588
161,isafjordur,65.194,-23.558,273.67,57,90,6.1,IS,1700706593
162,sueca,39.3307,-0.2801,285.3,58,0,3.15,ES,1700706600
163,la ronge,57.5906,-103.3815,255.22,85,39,6.22,CA,1700706609
164,wakkanai,46.1968,139.4672,279.89,93,100,7.99,RU,1700706616
165,iqaluit,65.3093,-66.8411,269.94,89,100,4.99,CA,1700706620
166,kurchatov,51.1233,78.3673,273.85,54,100,3.46,KZ,1700706622
167,fisterra,42.399,-10.3607,287.9,69,98,9.91,ES,1700706623
168,mar del plata,-38.9265,-56.6842,286.42,78,67,1.45,AR,1700706625
169,mineiros,-17.484,-52.2963,295.95,79,46,2.85,BR,1700706627
170,santarem,-2.5107,-54.7354,301.44,74,20,2.57,BR,1700706648
171,yasuj,30.8468,51.9047,270.48,35,88,0.55,IR,1700706666
172,bereket,39.3745,55.6346,282.5,68,23,4.07,TM,1700706683
173,padang,-2.5817,99.0645,298.72,87,100,1.56,ID,1700706689
174,winnemucca,40.0045,-117.6954,281.52,34,100,0.33,US,1700706698
175,ust-nera,70.0229,140.8976,241.78,98,100,1.52,RU,1700706706
